user_id,message_count,avg_toxicity,max_toxicity,toxic_count,severity_level
067c5e8,1,1.0,1.0,1,VERY_HIGH
47d24c7,1,1.0,1.0,1,VERY_HIGH
5da8716,1,1.0,1.0,1,VERY_HIGH
a46da9f,1,1.0,1.0,1,VERY_HIGH
4d9916d,1,1.0,1.0,1,VERY_HIGH
49516b0,1,1.0,1.0,1,VERY_HIGH
59ea8c6,1,1.0,1.0,1,VERY_HIGH
2729def,1,1.0,1.0,1,VERY_HIGH
ca8a845,1,1.0,1.0,1,VERY_HIGH
1323c25,1,1.0,1.0,1,VERY_HIGH
3b0e1b1,1,1.0,1.0,1,VERY_HIGH
9a176c2,1,1.0,1.0,1,VERY_HIGH
b62d103,1,1.0,1.0,1,VERY_HIGH
d4537c2,1,1.0,1.0,1,VERY_HIGH
b0127ca,1,1.0,1.0,1,VERY_HIGH
dbb2d93,1,1.0,1.0,1,VERY_HIGH
f207ed0,1,1.0,1.0,1,VERY_HIGH
0cb93ca,1,1.0,1.0,1,VERY_HIGH
0908808,1,1.0,1.0,1,VERY_HIGH
933a16f,1,1.0,1.0,1,VERY_HIGH
b7e2b5a,1,1.0,1.0,1,VERY_HIGH
c02672a,1,1.0,1.0,1,VERY_HIGH
f8cce04,1,1.0,1.0,1,VERY_HIGH
ed07b99,1,1.0,1.0,1,VERY_HIGH
2347a52,1,0.9999999999999997,0.9999999999999997,1,VERY_HIGH
967a075,1,0.9999999999999936,0.9999999999999936,1,VERY_HIGH
3bf33d0,1,0.9999999999999831,0.9999999999999831,1,VERY_HIGH
fb3a15d,1,0.9999999999997773,0.9999999999997773,1,VERY_HIGH
115eb5f,1,0.9999999999997137,0.9999999999997137,1,VERY_HIGH
c1fc1f0,1,0.999999997554898,0.999999997554898,1,VERY_HIGH
c5ffeab,1,0.9999999209774063,0.9999999209774063,1,VERY_HIGH
d3a0f80,1,0.999999873589875,0.999999873589875,1,VERY_HIGH
f6123cf,1,0.9999996867242428,0.9999996867242428,1,VERY_HIGH
0f18af6,1,0.9999989436308688,0.9999989436308688,1,VERY_HIGH
e72339a,1,0.9999981564489211,0.9999981564489211,1,VERY_HIGH
af9e849,1,0.9999975807040251,0.9999975807040251,1,VERY_HIGH
735adaa,1,0.9999960619683053,0.9999960619683053,1,VERY_HIGH
0d06946,1,0.9999950920257615,0.9999950920257615,1,VERY_HIGH
1c96e8a,1,0.9999946100640091,0.9999946100640091,1,VERY_HIGH
2d0288c,1,0.9999935947740459,0.9999935947740459,1,VERY_HIGH
2db5f13,1,0.9999932303303722,0.9999932303303722,1,VERY_HIGH
0616877,1,0.9999872525191503,0.9999872525191503,1,VERY_HIGH
5784233,1,0.9999724685763359,0.9999724685763359,1,VERY_HIGH
3ba32c9,1,0.9999626321263981,0.9999626321263981,1,VERY_HIGH
49fa0c9,1,0.9999273931248418,0.9999273931248418,1,VERY_HIGH
bcb628b,1,0.9999250601292191,0.9999250601292191,1,VERY_HIGH
73e454b,1,0.9998966864856663,0.9998966864856663,1,VERY_HIGH
b825a93,1,0.9998893334542266,0.9998893334542266,1,VERY_HIGH
61c614d,1,0.99988091744182,0.99988091744182,1,VERY_HIGH
57b1262,1,0.9998398842442919,0.9998398842442919,1,VERY_HIGH
d325b63,1,0.999715015234648,0.999715015234648,1,VERY_HIGH
4fddbaf,1,0.9996945102686918,0.9996945102686918,1,VERY_HIGH
5db9890,1,0.9996815316612823,0.9996815316612823,1,VERY_HIGH
b39a61e,1,0.9996502548730827,0.9996502548730827,1,VERY_HIGH
36bf948,1,0.9996346775124602,0.9996346775124602,1,VERY_HIGH
a153045,1,0.9996307548881289,0.9996307548881289,1,VERY_HIGH
2c261ff,1,0.999624283755325,0.999624283755325,1,VERY_HIGH
9f33333,1,0.9995160018535602,0.9995160018535602,1,VERY_HIGH
32a8628,1,0.9995106017497465,0.9995106017497465,1,VERY_HIGH
9958152,1,0.9993847197147363,0.9993847197147363,1,VERY_HIGH
64c061c,1,0.9992181260256896,0.9992181260256896,1,VERY_HIGH
7e674e5,1,0.999154453926404,0.999154453926404,1,VERY_HIGH
cc59c8a,1,0.9991116188942373,0.9991116188942373,1,VERY_HIGH
b0cb25c,1,0.9990988765431719,0.9990988765431719,1,VERY_HIGH
63559d9,1,0.9990768649765775,0.9990768649765775,1,VERY_HIGH
f6d1982,1,0.9987375511712295,0.9987375511712295,1,VERY_HIGH
e558799,1,0.9986652138312399,0.9986652138312399,1,VERY_HIGH
d8a2c8f,1,0.9985700981456203,0.9985700981456203,1,VERY_HIGH
2e039ed,1,0.998544101282476,0.998544101282476,1,VERY_HIGH
16b8c15,1,0.9983909990815977,0.9983909990815977,1,VERY_HIGH
b6763ab,1,0.9980917231642927,0.9980917231642927,1,VERY_HIGH
b181be5,1,0.9979718238391619,0.9979718238391619,1,VERY_HIGH
28a5cd0,1,0.997853762008298,0.997853762008298,1,VERY_HIGH
3018ab3,1,0.9976805745989871,0.9976805745989871,1,VERY_HIGH
883005d,1,0.9973233352264048,0.9973233352264048,1,VERY_HIGH
dc35abf,1,0.9973110790443042,0.9973110790443042,1,VERY_HIGH
4716dea,1,0.9971905945671958,0.9971905945671958,1,VERY_HIGH
53d1675,1,0.9969679116252098,0.9969679116252098,1,VERY_HIGH
8211718,1,0.9960070305165074,0.9960070305165074,1,VERY_HIGH
f3d6217,1,0.9955713889296987,0.9955713889296987,1,VERY_HIGH
9c22d6a,1,0.9954391354704326,0.9954391354704326,1,VERY_HIGH
b83cc6d,1,0.9952551761221806,0.9952551761221806,1,VERY_HIGH
3eb0ff9,1,0.9948117991022756,0.9948117991022756,1,VERY_HIGH
9dec215,1,0.9942572917320511,0.9942572917320511,1,VERY_HIGH
797d88a,1,0.9937677901513242,0.9937677901513242,1,VERY_HIGH
a6ea475,1,0.9936927366923506,0.9936927366923506,1,VERY_HIGH
0181e17,1,0.9933988896455029,0.9933988896455029,1,VERY_HIGH
1595872,1,0.992057191377988,0.992057191377988,1,VERY_HIGH
4e3e92f,1,0.9917510620899046,0.9917510620899046,1,VERY_HIGH
4c37a6b,1,0.9916628610618207,0.9916628610618207,1,VERY_HIGH
9f84f98,1,0.9912346362781566,0.9912346362781566,1,VERY_HIGH
4a01e63,1,0.9905200236917376,0.9905200236917376,1,VERY_HIGH
13f0892,1,0.9903011060799964,0.9903011060799964,1,VERY_HIGH
df853a8,1,0.9900108505211065,0.9900108505211065,1,VERY_HIGH
But  i,1,0.9900044952936343,0.9900044952936343,1,VERY_HIGH
7a87455,1,0.989807082123023,0.989807082123023,1,VERY_HIGH
bc552c4,1,0.989648642195479,0.989648642195479,1,VERY_HIGH
3664737,1,0.9893897120580087,0.9893897120580087,1,VERY_HIGH
d8c1bad,1,0.9883979593261583,0.9883979593261583,1,VERY_HIGH
c9b0eba,1,0.9883447623757305,0.9883447623757305,1,VERY_HIGH
89f1f2c,1,0.9882378404094515,0.9882378404094515,1,VERY_HIGH
3e4054b,1,0.9881865106633266,0.9881865106633266,1,VERY_HIGH
96a675c,1,0.9880279561339433,0.9880279561339433,1,VERY_HIGH
3321dc9,1,0.9861341406772193,0.9861341406772193,1,VERY_HIGH
bfe5f21,1,0.9859401627364163,0.9859401627364163,1,VERY_HIGH
a980f86,1,0.9858005223366815,0.9858005223366815,1,VERY_HIGH
95b2c8e,1,0.9857108646544879,0.9857108646544879,1,VERY_HIGH
da8c227,1,0.9851491629950199,0.9851491629950199,1,VERY_HIGH
2412ef2,1,0.9850635166618431,0.9850635166618431,1,VERY_HIGH
99b24a1,1,0.9843592988950387,0.9843592988950387,1,VERY_HIGH
PS loos,1,0.9839945349775909,0.9839945349775909,1,VERY_HIGH
8c95127,1,0.9833801874038857,0.9833801874038857,1,VERY_HIGH
63fdcac,1,0.9830712489318436,0.9830712489318436,1,VERY_HIGH
3460a80,1,0.9824841683162453,0.9824841683162453,1,VERY_HIGH
450da94,1,0.9824668758077966,0.9824668758077966,1,VERY_HIGH
b811ba0,1,0.9821062996131363,0.9821062996131363,1,VERY_HIGH
51fc127,1,0.9819943885276495,0.9819943885276495,1,VERY_HIGH
":\"\"\"\"P",1,0.9815217445252291,0.9815217445252291,1,VERY_HIGH
ee0121b,1,0.9813848751154967,0.9813848751154967,1,VERY_HIGH
40bee03,1,0.9808581897004154,0.9808581897004154,1,VERY_HIGH
c0a55c0,1,0.9804272166880017,0.9804272166880017,1,VERY_HIGH
7690e7c,1,0.9795132289430228,0.9795132289430228,1,VERY_HIGH
e0fed0e,1,0.979271758223869,0.979271758223869,1,VERY_HIGH
2979e4b,1,0.978993480902865,0.978993480902865,1,VERY_HIGH
d30ecdb,1,0.9784062172028242,0.9784062172028242,1,VERY_HIGH
